カテゴリー,分類群,和名,学名
絶滅（EX）,哺乳類,オキナワオオコウモリ,Pteropus loochoensis
絶滅（EX）,哺乳類,ミヤココキクガシラコウモリ,Rhinolophus pumilus miyakonis
絶滅（EX）,哺乳類,オガサワラアブラコウモリ,Pipistrellus sturdeei
絶滅（EX）,哺乳類,エゾオオカミ,Canis lupus hattai
絶滅（EX）,哺乳類,ニホンオオカミ,Canis lupus hodophilax
絶滅（EX）,哺乳類,ニホンカワウソ（本州以南亜種）,Lutra lutra nippon
絶滅（EX）,哺乳類,ニホンカワウソ（北海道亜種）,Lutra lutra whiteleyi
絶滅危惧IA類（CR）,哺乳類,センカクモグラ,Mogera uchidai
絶滅危惧IA類（CR）,哺乳類,ダイトウオオコウモリ,Pteropus dasymallus daitoensis
絶滅危惧IA類（CR）,哺乳類,エラブオオコウモリ,Pteropus dasymallus dasymallus
絶滅危惧IA類（CR）,哺乳類,クロアカコウモリ,Myotis formosus
絶滅危惧IA類（CR）,哺乳類,ヤンバルホオヒゲコウモリ,Myotis yanbarensis
絶滅危惧IA類（CR）,哺乳類,セスジネズミ,Apodemus agrarius
絶滅危惧IA類（CR）,哺乳類,オキナワトゲネズミ,Tokudaia muenninki
絶滅危惧IA類（CR）,哺乳類,ツシマヤマネコ,Prionailurus bengalensis euptilurus
絶滅危惧IA類（CR）,哺乳類,イリオモテヤマネコ,Prionailurus bengalensis iriomotensis
絶滅危惧IA類（CR）,哺乳類,ラッコ,Enhydra lutris
絶滅危惧IA類（CR）,哺乳類,ニホンアシカ,Zalophus japonicus
絶滅危惧IA類（CR）,哺乳類,ジュゴン,Dugong dugon
絶滅危惧IB類（EN）,哺乳類,オリイジネズミ,Crocidura orii
絶滅危惧IB類（EN）,哺乳類,エチゴモグラ,Mogera etigo
絶滅危惧IB類（EN）,哺乳類,オガサワラオオコウモリ,Pteropus pselaphon
絶滅危惧IB類（EN）,哺乳類,オリイコキクガシラコウモリ,Rhinolophus cornutus orii
絶滅危惧IB類（EN）,哺乳類,オキナワコキクガシラコウモリ,Rhinolophus pumilus pumilus 
絶滅危惧IB類（EN）,哺乳類,リュウキュウテングコウモリ,Murina ryukyuana
絶滅危惧IB類（EN）,哺乳類,コヤマコウモリ,Nyctalus furvus
絶滅危惧IB類（EN）,哺乳類,リュウキュウユビナガコウモリ,Miniopterus fuscus
絶滅危惧IB類（EN）,哺乳類,ケナガネズミ,Diplothrix legata
絶滅危惧IB類（EN）,哺乳類,アマミトゲネズミ,Tokudaia osimensis
絶滅危惧IB類（EN）,哺乳類,トクノシマトゲネズミ,Tokudaia tokunoshimensis
絶滅危惧IB類（EN）,哺乳類,アマミノクロウサギ,Pentalagus furnessi
絶滅危惧IB類（EN）,哺乳類,シベリアイタチ,Mustela sibirica
絶滅危惧II類（VU）,哺乳類,トウキョウトガリネズミ,Sorex minutissimus hawkeri　
絶滅危惧II類（VU）,哺乳類,ヤエヤマコキクガシラコウモリ,Rhinolophus perditus
絶滅危惧II類（VU）,哺乳類,クビワコウモリ,Eptesicus japonensis
絶滅危惧II類（VU）,哺乳類,ウスリホオヒゲコウモリ,Myotis gracilis
絶滅危惧II類（VU）,哺乳類,ホンドノレンコウモリ,Myotis nattereri bombinus
絶滅危惧II類（VU）,哺乳類,クロホオヒゲコウモリ,Myotis pruinosus
絶滅危惧II類（VU）,哺乳類,ヤマコウモリ,Nyctalus aviator
絶滅危惧II類（VU）,哺乳類,モリアブラコウモリ,Pipistrellus endoi
絶滅危惧II類（VU）,哺乳類,オヒキコウモリ,Tadarida insignis
準絶滅危惧（NT）,哺乳類,コジネズミ,Crocidura shantungensis
準絶滅危惧（NT）,哺乳類,ワタセジネズミ,Crocidura watasei
準絶滅危惧（NT）,哺乳類,アズミトガリネズミ,Sorex hosonoi
準絶滅危惧（NT）,哺乳類,シコクトガリネズミ,Sorex shinto shikokensis
準絶滅危惧（NT）,哺乳類,ミズラモグラ,Euroscaptor mizura
準絶滅危惧（NT）,哺乳類,サドモグラ,Mogera tokudae
準絶滅危惧（NT）,哺乳類,ミヤマムクゲネズミ,Myodes rex montanus
準絶滅危惧（NT）,哺乳類,リシリムクゲネズミ,Myodes rex rex
準絶滅危惧（NT）,哺乳類,エゾナキウサギ,Ochotona hyperborea yesoensis
準絶滅危惧（NT）,哺乳類,サドノウサギ,Lepus brachyurus lyoni
準絶滅危惧（NT）,哺乳類,ツシマテン,Martes melampus tsuensis
準絶滅危惧（NT）,哺乳類,エゾクロテン,Martes zibellina brachyura
準絶滅危惧（NT）,哺乳類,ホンドオコジョ,Mustela erminea nippon
準絶滅危惧（NT）,哺乳類,エゾオコジョ,Mustela erminea orientalis
準絶滅危惧（NT）,哺乳類,ニホンイイズナ（本州亜種）,Mustela nivalis namiyei
準絶滅危惧（NT）,哺乳類,ゼニガタアザラシ,Phoca vitulina
準絶滅危惧（NT）,哺乳類,トド,Eumetopias jubatus
情報不足（DD）,哺乳類,オオアブラコウモリ,Hypsugo alaschanicus
情報不足（DD）,哺乳類,クチバテングコウモリ,Murina tenebrosa
情報不足（DD）,哺乳類,ヒメヒナコウモリ,Vespertilio murinus
情報不足（DD）,哺乳類,スミイロオヒキコウモリ,Tadarida latouchei
情報不足（DD）,哺乳類,エゾシマリス,Tamias sibiricus lineatus
絶滅のおそれのある地域個体群（LP）,哺乳類,九州地方のカワネズミ,Chimarrogale platycephala
絶滅のおそれのある地域個体群（LP）,哺乳類,波照間島のカグラコウモリ,Hipposideros  turpis
絶滅のおそれのある地域個体群（LP）,哺乳類,与那国島のカグラコウモリ,Hipposideros  turpis
絶滅のおそれのある地域個体群（LP）,哺乳類,四国のチチブコウモリ,Barbastella leucomelas
絶滅のおそれのある地域個体群（LP）,哺乳類,本州のチチブコウモリ,Barbastella leucomelas
絶滅のおそれのある地域個体群（LP）,哺乳類,紀伊半島のシナノホオヒゲコウモリ,Myotis ikonnikovi hosonoi
絶滅のおそれのある地域個体群（LP）,哺乳類,中国地方のシナノホオヒゲコウモリ,Myotis ikonnikovi hosonoi
絶滅のおそれのある地域個体群（LP）,哺乳類,近畿地方以西のウサギコウモリ,Plecotus sacrimontis
絶滅のおそれのある地域個体群（LP）,哺乳類,北奥羽・北上山系のホンドザル,Macaca fuscata fuscata
絶滅のおそれのある地域個体群（LP）,哺乳類,金華山のホンドザル,Macaca fuscata fuscata
絶滅のおそれのある地域個体群（LP）,哺乳類,房総半島のホンドザル,Macaca fuscata fuscata
絶滅のおそれのある地域個体群（LP）,哺乳類,九州地方のニホンリス,Sciurus lis
絶滅のおそれのある地域個体群（LP）,哺乳類,中国地方のニホンリス,Sciurus lis
絶滅のおそれのある地域個体群（LP）,哺乳類,石狩西部のエゾヒグマ,Ursus arctos yesoensis
絶滅のおそれのある地域個体群（LP）,哺乳類,天塩・増毛地方のエゾヒグマ,Ursus arctos yesoensis
絶滅のおそれのある地域個体群（LP）,哺乳類,西中国地域のツキノワグマ,Ursus thibetanus japonicus
絶滅のおそれのある地域個体群（LP）,哺乳類,下北半島のツキノワグマ,Ursus thibetanus japonicus
絶滅のおそれのある地域個体群（LP）,哺乳類,紀伊半島のツキノワグマ,Ursus thibetanus japonicus
絶滅のおそれのある地域個体群（LP）,哺乳類,四国山地のツキノワグマ,Ursus thibetanus japonicus
絶滅のおそれのある地域個体群（LP）,哺乳類,東中国地域のツキノワグマ,Ursus thibetanus japonicus
絶滅のおそれのある地域個体群（LP）,哺乳類,馬毛島のニホンジカ,Cervus nippon
絶滅のおそれのある地域個体群（LP）,哺乳類,徳之島のリュウキュウイノシシ,Sus scrofa riukiuanus
絶滅のおそれのある地域個体群（LP）,哺乳類,九州地方のカモシカ,Capricornis crispus
絶滅のおそれのある地域個体群（LP）,哺乳類,四国地方のカモシカ,Capricornis crispus
絶滅のおそれのある地域個体群（LP）,哺乳類,紀伊山地のカモシカ,Capricornis crispus
絶滅のおそれのある地域個体群（LP）,哺乳類,鈴鹿山地のカモシカ,Capricornis crispus
