カテゴリー,分類群,和名,学名
絶滅（EX）,地衣類,ホソゲジゲジゴケ,Heterodermia angustiloba
絶滅（EX）,地衣類,ヌマジリゴケ,Erioderma tomentosum
絶滅（EX）,地衣類,シロツノゴケ,Siphula ceratites
絶滅危惧ⅠＡ類（CR）,地衣類,ヨウジョウクチナワゴケ,Enterographa multiseptata
絶滅危惧ⅠＡ類（CR）,地衣類,コナタカネゴケ,Montanelia sorediata
絶滅危惧ⅠＡ類（CR）,地衣類,ベニハシゴケ,Loflammia epiphylla
絶滅危惧ⅠＡ類（CR）,地衣類,ヨコタカラタチゴケ,Ramalina yokotae
絶滅危惧ⅠＡ類（CR）,地衣類,アキハゴケ,Erioderma sorediatum
絶滅危惧ⅠＡ類（CR）,地衣類,ムニンゴケ,Gibbosporina boninensis
絶滅危惧ⅠB類（EN）,地衣類,ミヤマウロコゴケ,Dermatocarpon tuzibei
絶滅危惧ⅠB類（EN）,地衣類,クロウラカワイワタケ,Dermatocarpon vellereum
絶滅危惧ⅠB類（EN）,地衣類,コウヤハナゴケ,Cladonia koyaënsis
絶滅危惧ⅠB類（EN）,地衣類,オオツブミゴケ,Gymnoderma coccocarpum
絶滅危惧ⅠB類（EN）,地衣類,ツブミゴケ,Gymnoderma insulare
絶滅危惧ⅠB類（EN）,地衣類,タチクリイロトゲキノリ,Cetraria aculeata
絶滅危惧ⅠB類（EN）,地衣類,タカネトコブシゴケ,Cetrelia alaskana
絶滅危惧ⅠB類（EN）,地衣類,ミヤマヒジキゴケ,Cornicularia normoerica
絶滅危惧ⅠB類（EN）,地衣類,ナヨナヨサガリゴケ,Lethariella togashii
絶滅危惧ⅠB類（EN）,地衣類,アマギウメノキゴケ,Myelochroa amagiensis
絶滅危惧ⅠB類（EN）,地衣類,ヨシノミヤマクグラ,Oropogon orientalis
絶滅危惧ⅠB類（EN）,地衣類,アワフキカラクサゴケ,Parmelia erumpens
絶滅危惧ⅠB類（EN）,地衣類,ナガヒゲサルオガセ,Usnea dasopoga
絶滅危惧ⅠB類（EN）,地衣類,オニヒゲサルオガセ,Usnea glabrescens
絶滅危惧ⅠB類（EN）,地衣類,ニセヨコワサルオガセ,Usnea subgracilis
絶滅危惧ⅠB類（EN）,地衣類,リュウキュウワタヘリゴケ,Byssoloma discordans var. flavescens
絶滅危惧ⅠB類（EN）,地衣類,ニセミヤマキゴケ,Stereocaulon curtatoides
絶滅危惧ⅠB類（EN）,地衣類,ヒロハキゴケモドキ,Stereocaulon wrightii
絶滅危惧ⅠB類（EN）,地衣類,タカネヨロイゴケ,Sticta arctica
絶滅危惧ⅠB類（EN）,地衣類,ヒメキノリ,Ramalodium japonicum
絶滅危惧ⅠB類（EN）,地衣類,ハナビラツメゴケ,Peltigera lepidophora
絶滅危惧ⅠB類（EN）,地衣類,ヒメツメゴケ,Peltigera venosa
絶滅危惧ⅠB類（EN）,地衣類,アカウラヤイトゴケ,Solorina crocea
絶滅危惧ⅠB類（EN）,地衣類,オガサワラトリハダゴケ,Pertusaria boninensis
絶滅危惧ⅠB類（EN）,地衣類,トゲイワタケ,Umbilicaria deusta
絶滅危惧ⅠB類（EN）,地衣類,オオウラヒダイワタケ,Umbilicaria muehlenbergii
絶滅危惧ⅠB類（EN）,地衣類,ヤブレガサゴケ,Paulia japonica
絶滅危惧ⅠB類（EN）,地衣類,オオバキセガワノリ,Thyrea latissima
絶滅危惧Ⅱ類（VU）,地衣類,トゲエイランタイモドキ,Cetraria odontella
絶滅危惧Ⅱ類（VU）,地衣類,クロカワアワビゴケ,Usnocetraria kurokawae
絶滅危惧Ⅱ類（VU）,地衣類,フジカワゴケ,Toninia tristis subsp. fujikawae
準絶滅危惧（NT）,地衣類,ヒョウモンメダイゴケ,Chiodecton congestulum
準絶滅危惧（NT）,地衣類,ヒイロクロボシゴケ,Pyxine cocoës
準絶滅危惧（NT）,地衣類,ウスキエイランタイ,Flavocetraria cucullata
準絶滅危惧（NT）,地衣類,ハクテンヒメキウメノキゴケ,Flavopunctelia flaventior
準絶滅危惧（NT）,地衣類,ヒメキウメノキゴケ,Flavopunctelia soredica
準絶滅危惧（NT）,地衣類,ナガサルオガセ,Usnea longissima
準絶滅危惧（NT）,地衣類,ニッパラサルオガセ,Usnea nipparensis
