カテゴリー,分類群,和名,学名
絶滅（EX）,維管束植物,コウヨウザンカズラ,Phlegmariurus cunninghamioides
絶滅（EX）,維管束植物,タカネハナワラビ,Botrychium boreale
絶滅（EX）,維管束植物,イオウジマハナヤスリ,Ophioglossum parvifolium
絶滅（EX）,維管束植物,オオイワヒメワラビ,Hypolepis tenuifolia
絶滅（EX）,維管束植物,ウスバシダモドキ,Tectaria dissecta
絶滅（EX）,維管束植物,ヒトツバノキシノブ,Pyrrosia angustissima
絶滅（EX）,維管束植物,ヒメソクシンラン,Aletris scopulorum
絶滅（EX）,維管束植物,ミドリシャクジョウ,Burmannia coelestris
絶滅（EX）,維管束植物,キリシマタヌキノショクダイ,Thismia tuberculata
絶滅（EX）,維管束植物,タイワンアオイラン,Acanthephippium striatum
絶滅（EX）,維管束植物,ジンヤクラン,Arachnis labrosa
絶滅（EX）,維管束植物,ツクシサカネラン,Neottia kiusiana
絶滅（EX）,維管束植物,ツシマラン,Odontochilus poilanei
絶滅（EX）,維管束植物,タカノホシクサ,Eriocaulon setaceum
絶滅（EX）,維管束植物,タチガヤツリ,Cyperus diaphanus
絶滅（EX）,維管束植物,ホクトガヤツリ,Cyperus procerus
絶滅（EX）,維管束植物,チャイロテンツキ,Fimbristylis leptoclada var. takamineana
絶滅（EX）,維管束植物,イシガキイトテンツキ,Fimbristylis pauciflora
絶滅（EX）,維管束植物,カラクサキンポウゲ,Ranunculus gmelinii
絶滅（EX）,維管束植物,ソロハギ,Flemingia strobilifera
絶滅（EX）,維管束植物,サガミメドハギ,Lespedeza hisauchii
絶滅（EX）,維管束植物,ツクシアキツルイチゴ,Rubus hatsushimae
絶滅（EX）,維管束植物,オオミコゴメグサ,Euphrasia insignis subsp. insignis var. omiensis
絶滅（EX）,維管束植物,マツラコゴメグサ,Euphrasia insignis subsp. insignis var. pubigera
絶滅（EX）,維管束植物,クモイコゴメグサ,Euphrasia multifolia var. kirisimana
絶滅（EX）,維管束植物,トヨシマアザミ,Cirsium toyoshimae
野生絶滅（EW）,維管束植物,ハイミミガタシダ,Phegopteris aurita
野生絶滅（EW）,維管束植物,コバヤシカナワラビ,Arachniodes yasu-inouei var. angustipinnula
野生絶滅（EW）,維管束植物,シビイタチシダ,Dryopteris shibipedis
野生絶滅（EW）,維管束植物,コブシモドキ,Magnolia pseudokobus
野生絶滅（EW）,維管束植物,キバナホウチャクソウ,Disporum uniflorum
野生絶滅（EW）,維管束植物,キノエササラン,Liparis bootanensis var. uchiyamae
野生絶滅（EW）,維管束植物,コシガヤホシクサ,Eriocaulon heleocharioides
野生絶滅（EW）,維管束植物,リュウキュウベンケイ,Kalanchoe spathulata var. spathulata
野生絶滅（EW）,維管束植物,ナルトオウギ,Astragalus sikokianus
野生絶滅（EW）,維管束植物,オリヅルスミレ,Viola stoloniflora
絶滅危惧ⅠＡ類（CR）,維管束植物,コスギトウゲシバ,Huperzia somae
絶滅危惧ⅠＡ類（CR）,維管束植物,イヌヤチスギラン,Lycopodiella caroliniana
絶滅危惧ⅠＡ類（CR）,維管束植物,リュウキュウヒモラン,Lycopodium sieboldii var. christensenianum
絶滅危惧ⅠＡ類（CR）,維管束植物,ボウカズラ,Phlegmariurus carinatus
絶滅危惧ⅠＡ類（CR）,維管束植物,ヒモスギラン,Phlegmariurus fargesii
絶滅危惧ⅠＡ類（CR）,維管束植物,ヒメヨウラクヒバ,Phlegmariurus salvinioides
絶滅危惧ⅠＡ類（CR）,維管束植物,チシマヒメドクサ,Equisetum variegatum
絶滅危惧ⅠＡ類（CR）,維管束植物,ミヤマハナワラビ,Botrychium lanceolatum
絶滅危惧ⅠＡ類（CR）,維管束植物,ミドリハナワラビ,Botrychium triangularifolium
絶滅危惧ⅠＡ類（CR）,維管束植物,ヒノタニリュウビンタイ,Angiopteris fokiensis
絶滅危惧ⅠＡ類（CR）,維管束植物,キクモバホラゴケ,Callistopteris apiifolia
絶滅危惧ⅠＡ類（CR）,維管束植物,サキシマホラゴケ,Cephalomanes atrovirens
絶滅危惧ⅠＡ類（CR）,維管束植物,マルバコケシダ,Didymoglossum bimarginatum
絶滅危惧ⅠＡ類（CR）,維管束植物,ユビコケシノブ,Hymenophyllum digitatum
絶滅危惧ⅠＡ類（CR）,維管束植物,ムクゲコケシノブ,Hymenophyllum pilosissimum
絶滅危惧ⅠＡ類（CR）,維管束植物,シマヤマソテツ,Plagiogyria stenoptera
