カテゴリー,分類群,和名,学名
絶滅（EX）,菌類,ハハジマモリノカサ,Agaricus hahashimensis
絶滅（EX）,菌類,スナタマゴタケ,Chlorophyllum agaricoides
絶滅（EX）,菌類,ムニンヒトヨタケ,Coprinus boninensis
絶滅（EX）,菌類,ムニンヒメカラカサタケ,Lepiota boninensis
絶滅（EX）,菌類,ムニンヒメサカズキタケ,Clitocybe castaneofloccosa
絶滅（EX）,菌類,ハハノツエタケ,Collybia matris
絶滅（EX）,菌類,ムラサキチャヒラタケ,Crepidotus subpurpureus
絶滅（EX）,菌類,ムニンチャモミウラモドキ,Entoloma japonense
絶滅（EX）,菌類,フタイロコガサタケ,Camarophyllus microbicolor
絶滅（EX）,菌類,オオミノアカヤマタケ,Hygrocybe macrospora
絶滅（EX）,菌類,ムニンキヤマタケ,Hygrocybe miniatostriata
絶滅（EX）,菌類,オガサワラツムタケ,Gymnopilus noviholocirrhus
絶滅（EX）,菌類,コメツブホコリタケ,Lycoperdon henningsii
絶滅（EX）,菌類,ムニンチヂミタケ,Campanella boninensis
絶滅（EX）,菌類,ムニンチャダイゴケ,Cyathus boninensis
絶滅（EX）,菌類,ダイドウベニヒダタケ,Pluteus daidoi
絶滅（EX）,菌類,フサベニヒダタケ,Pluteus horridilamellus
絶滅（EX）,菌類,オガサワライタチタケ,Psathyrella boninensis
絶滅（EX）,菌類,ケガワタケ属の１種,Lentinus lamelliporus
絶滅（EX）,菌類,アミラッパタケ,Albatrellus cantharellus
絶滅危惧ⅠＡ類（CR）,菌類,オオメシマコブ,Fulvifomes boninensis
絶滅危惧ⅠＡ類（CR）,菌類,ヨコグラサルノコシカケ,Fulvifomes imazekii
絶滅危惧ⅠB類（EN）,菌類,フジイロアマタケ,Baeospora myriadophylla
絶滅危惧ⅠB類（EN）,菌類,ヤチヒロヒダタケ,Desarmillaria ectypa
絶滅危惧ⅠB類（EN）,菌類,トガサワラショウロ,Rhizopogon togasawarius
絶滅危惧ⅠB類（EN）,菌類,ヤクタネショウロ,Rhizopogon yakushimensis
絶滅危惧ⅠB類（EN）,菌類,アカダマスッポンタケ,Phallus hadriani
絶滅危惧ⅠB類（EN）,菌類,アカダマノオオタイマツ,Phallus rubicundus
絶滅危惧ⅠB類（EN）,菌類,ワニスタケ,Microporus ochrotinctus
絶滅危惧ⅠB類（EN）,菌類,コウヤクマンネンハリタケ,Echinodontiellum japonicum
絶滅危惧Ⅱ類（VU）,菌類,キリノミタケ,Chorioactis geaster
絶滅危惧Ⅱ類（VU）,菌類,コナガエノアカカゴタケ,Lysurus sphaerocephalus
絶滅危惧Ⅱ類（VU）,菌類,カンバタケモドキ,Favolus pseudobetulius
準絶滅危惧（NT）,菌類,クロムラサキハナビラタケ,Diplocarpa irregularis
準絶滅危惧（NT）,菌類,マツタケ,Tricholoma matsutake
準絶滅危惧（NT）,菌類,カバノアナタケ,Inonotus obliquus
準絶滅危惧（NT）,菌類,メシマコブ,Sanghuangporus sanghuang
準絶滅危惧（NT）,菌類,ニンギョウタケモドキ,Albatrellus ovinus
準絶滅危惧（NT）,菌類,ヌメリアイタケ,Neoalbatrellus yasudae
準絶滅危惧（NT）,菌類,クロカワ,Boletopsis grisea
準絶滅危惧（NT）,菌類,マツバハリタケ,Phellodon fuligineoalbus
情報不足（DD）,菌類,エダウチホコリタケモドキ,Dendrosphaera eberhardtii
情報不足（DD）,菌類,トワダミドリクチキムシタケ,Metarhizium pseudoatrovirens
情報不足（DD）,菌類,チチブクチキムシタケ,Cordyceps nanatakiensis
