カテゴリー,分類群,和名,学名
絶滅（EX）,蘚苔類,ダンゴゼニゴケ,Mannia androgyna
絶滅（EX）,蘚苔類,ウルシゼニゴケ,Mannia californica
絶滅（EX）,蘚苔類,ヤクシマスギバゴケ,Lepicolea yakusimensis
絶滅（EX）,蘚苔類,シワナシチビイタチゴケ,Pterogoniadelphus esquirolii
絶滅危惧ⅠＡ類（CR）,蘚苔類,ミドリツノゴケ,Folioceros glandulosus
絶滅危惧ⅠＡ類（CR）,蘚苔類,ヒカリゼニゴケ,Cyathodium cavernarum
絶滅危惧ⅠＡ類（CR）,蘚苔類,ヤツガタケウロコゼニゴケ,Fossombronia pusilla
絶滅危惧ⅠＡ類（CR）,蘚苔類,ケミドリゼニゴケ,Aneura hirsuta
絶滅危惧ⅠＡ類（CR）,蘚苔類,イトスジゴケ,Riccardia pumila
絶滅危惧ⅠＡ類（CR）,蘚苔類,オノイチョウゴケ,Anastrophyllum ellipticum
絶滅危惧ⅠＡ類（CR）,蘚苔類,コダマイチョウゴケ,Crossocalyx hellerianus
絶滅危惧ⅠＡ類（CR）,蘚苔類,ヒメウキヤバネゴケ,Odontoschisma francisci
絶滅危惧ⅠＡ類（CR）,蘚苔類,モグリゴケ,Lethocolea naruto-toganensis
絶滅危惧ⅠＡ類（CR）,蘚苔類,ハッコウダゴケ,Eremonotus myriocarpus
絶滅危惧ⅠＡ類（CR）,蘚苔類,ユキミイチョウゴケ,Mesoptychia heterocolpos
絶滅危惧ⅠＡ類（CR）,蘚苔類,トゲバウロコゴケ,Heteroscyphus wettsteinii
絶滅危惧ⅠＡ類（CR）,蘚苔類,ハットリムカイバハネゴケ,Chiastocaulon theriotanum
絶滅危惧ⅠＡ類（CR）,蘚苔類,フィリピンオヤコゴケ,Schistochila aligera
絶滅危惧ⅠＡ類（CR）,蘚苔類,サンカクヨウジョウゴケ,Cololejeunea drepanolejeuneoides
絶滅危惧ⅠＡ類（CR）,蘚苔類,オガサワラケビラゴケ,Radula boninensis
絶滅危惧ⅠＡ類（CR）,蘚苔類,オリンピックゴケ,Brachydontium olympicum
絶滅危惧ⅠＡ類（CR）,蘚苔類,イボイボカタシロゴケ,Calymperes strictifolium
絶滅危惧ⅠＡ類（CR）,蘚苔類,ヌマチゴケ,Paludella squarrosa
絶滅危惧ⅠＡ類（CR）,蘚苔類,コシノシンジゴケ,Schizymenium sasaokae
絶滅危惧ⅠＡ類（CR）,蘚苔類,クチボソミノゴケ,Macromitrium holomitrioides
絶滅危惧ⅠＡ類（CR）,蘚苔類,オクヤマツガゴケ,Daltonia carinata
絶滅危惧ⅠＡ類（CR）,蘚苔類,キノボリヒメツガゴケ,Distichophyllum yakumontanum
絶滅危惧ⅠＡ類（CR）,蘚苔類,オニゴケ,Pseudospiridentopsis horrida
絶滅危惧ⅠＡ類（CR）,蘚苔類,マメハネゴケ,Pinnatella ambigua
絶滅危惧ⅠB類（EN）,蘚苔類,キレハコマチゴケ,Haplomitrium hookeri
絶滅危惧ⅠB類（EN）,蘚苔類,イワゼニゴケ,Mannia triandra
絶滅危惧ⅠB類（EN）,蘚苔類,リシリゼニゴケ,Peltolepis quadrata
絶滅危惧ⅠB類（EN）,蘚苔類,ジンチョウゴケ,Sauteria spongiosa
絶滅危惧ⅠB類（EN）,蘚苔類,ヤマトヤハズゴケ,Sandeothallus japonicus
絶滅危惧ⅠB類（EN）,蘚苔類,ミズゴケモドキ,Pleurozia purpurea
絶滅危惧ⅠB類（EN）,蘚苔類,ヒメモミジゴケ,Barbilophozia hatcheri
絶滅危惧ⅠB類（EN）,蘚苔類,ヤクシマアミバゴケ,Hattoria yakushimensis
絶滅危惧ⅠB類（EN）,蘚苔類,ミツデモミジゴケ,Neoorthocaulis floerkei
絶滅危惧ⅠB類（EN）,蘚苔類,マエバラアミバゴケ,Schizophyllopsis bidens
絶滅危惧ⅠB類（EN）,蘚苔類,キノボリヤバネゴケ,Sphenolobopsis pearsonii
絶滅危惧ⅠB類（EN）,蘚苔類,カラフトイチョウゴケ,Sphenolobus saxicola
絶滅危惧ⅠB類（EN）,蘚苔類,フクレヤバネゴケ,Nowellia aciliata
絶滅危惧ⅠB類（EN）,蘚苔類,ケスジヤバネゴケ,Cephaloziella elachista
絶滅危惧ⅠB類（EN）,蘚苔類,ミゾゴケモドキ,Scapania cuspiduligera
絶滅危惧ⅠB類（EN）,蘚苔類,イボヒシャクゴケ,Scapania verrucosa
絶滅危惧ⅠB類（EN）,蘚苔類,エゾヒメソロイゴケ,Cryptocoleopsis imbricata
絶滅危惧ⅠB類（EN）,蘚苔類,イトミゾゴケ,Marsupella boeckii
絶滅危惧ⅠB類（EN）,蘚苔類,ミジンコミゾゴケ,Marsupella vermiformis
絶滅危惧ⅠB類（EN）,蘚苔類,キレハウロコゴケ,Nardia breidleri
絶滅危惧ⅠB類（EN）,蘚苔類,ヤツガタケツボミゴケ,Jungermannia borealis
絶滅危惧ⅠB類（EN）,蘚苔類,オオイチョウゴケ,Mesoptychia collaris
絶滅危惧ⅠB類（EN）,蘚苔類,ヤエヤマスギバゴケ,Neolepidozia mamillosa
絶滅危惧ⅠB類（EN）,蘚苔類,シャンハイハネゴケ,Plagiochila shangaica
絶滅危惧ⅠB類（EN）,蘚苔類,サトミヨツデゴケ,Pseudolepicolea andoi
絶滅危惧ⅠB類（EN）,蘚苔類,イボイボムクムクゴケ,Trichocolea japonica
絶滅危惧ⅠB類（EN）,蘚苔類,ケナシオヤコゴケ,Schistochila nuda
絶滅危惧ⅠB類（EN）,蘚苔類,ヤクシマオヤコゴケ,Schistochila sciurea
絶滅危惧ⅠB類（EN）,蘚苔類,イリオモテヤスデゴケ,Frullania iriomotensis
絶滅危惧ⅠB類（EN）,蘚苔類,イボヤスデゴケ,Frullania repandistipula
絶滅危惧ⅠB類（EN）,蘚苔類,アマカワヒメゴヘイゴケ,Archilejeunea amakawana
絶滅危惧ⅠB類（EN）,蘚苔類,リュウキュウシゲリゴケ,Cheilolejeunea ryukyuensis
絶滅危惧ⅠB類（EN）,蘚苔類,キララヨウジョウゴケ,Cololejeunea ceratilobula
絶滅危惧ⅠB類（EN）,蘚苔類,ホソバイトクズゴケ,Cololejeunea sintenisii
絶滅危惧ⅠB類（EN）,蘚苔類,オガサワラキララゴケ,Cololejeunea subminutilobula
絶滅危惧ⅠB類（EN）,蘚苔類,マルバサンカクゴケ,Drepanolejeunea obtusifolia
絶滅危惧ⅠB類（EN）,蘚苔類,ツメクサリゴケ,Lejeunea apiculata
絶滅危惧ⅠB類（EN）,蘚苔類,オオハラバクサリゴケ,Lejeunea sordida
絶滅危惧ⅠB類（EN）,蘚苔類,ゴマダラクサリゴケ,Stictolejeunea iwatsukii
絶滅危惧ⅠB類（EN）,蘚苔類,ヒメゴヘイゴケ,Thysananthus retusus
絶滅危惧ⅠB類（EN）,蘚苔類,コバノイクビゴケ,Diphyscium perminutum
絶滅危惧ⅠB類（EN）,蘚苔類,スズキイクビゴケ,Diphyscium suzukii
絶滅危惧ⅠB類（EN）,蘚苔類,クロコゴケ,Luisierella barbula
絶滅危惧ⅠB類（EN）,蘚苔類,ウシオギボウシゴケ,Schistidium maritimum
