カテゴリー,分類群,和名,学名
絶滅（EX）,藻類,イケダシャジクモ,Chara fibrosa var. brevibracteata
絶滅（EX）,藻類,ハコネシャジクモ,Chara globularis var. hakonensis
絶滅（EX）,藻類,キザキフラスコモ,Nitella minispora
絶滅（EX）,藻類,コスジノリ,Porphyra angusta
野生絶滅（EW）,藻類,テガヌマフラスコモ,Nitella furcata var. fallosa
絶滅危惧ⅠＡ類（CR）,藻類,スイゼンジノリ,Aphanothece sacrum
絶滅危惧ⅠＡ類（CR）,藻類,クビレミドロ,Pseudodichotomosiphon constricta
絶滅危惧ⅠＡ類（CR）,藻類,ケナガシャジクモ,Chara fibrosa subsp. benthamii
絶滅危惧ⅠＡ類（CR）,藻類,コイトシャジクモ,Chara fibrosa subsp. flaccida
絶滅危惧ⅠＡ類（CR）,藻類,アメリカシャジクモ,Chara sejuncta
絶滅危惧ⅠＡ類（CR）,藻類,ハダシシャジクモ,Chara zeylanica
絶滅危惧ⅠＡ類（CR）,藻類,チャボフラスコモ,Nitella acuminata var. capitulifera
絶滅危惧ⅠＡ類（CR）,藻類,ダイシフラスコモ,Nitella dimorpha
絶滅危惧ⅠＡ類（CR）,藻類,ミキフラスコモ,Nitella furcata var. zollingeri
絶滅危惧ⅠＡ類（CR）,藻類,ホソバフラスコモ,Nitella graciliformis
絶滅危惧ⅠＡ類（CR）,藻類,ヒナフラスコモ,Nitella gracillima var. gracillima
絶滅危惧ⅠＡ類（CR）,藻類,フラスコモダマシ,Nitella imahorii
絶滅危惧ⅠＡ類（CR）,藻類,サカゴフラスコモ,Nitella inversa
絶滅危惧ⅠＡ類（CR）,藻類,ニッポンフラスコモ,Nitella japonica
絶滅危惧ⅠＡ類（CR）,藻類,トゲフラスコモ,Nitella pseudoflabellata f. spinosa
絶滅危惧ⅠＡ類（CR）,藻類,ミノフサフラスコモ,Nitella pseudoflabellata var. mucosa
絶滅危惧ⅠＡ類（CR）,藻類,サヌキフラスコモ,Nitella tenuissima var. sanukensis
絶滅危惧ⅠＡ類（CR）,藻類,マリモ,Aegagropila brownii
絶滅危惧ⅠＡ類（CR）,藻類,イリオモテカワモズク,Kumanoa iriomotensis
絶滅危惧ⅠＡ類（CR）,藻類,ミナミクロカワモズク,Kumanoa mahlacensis
絶滅危惧ⅠＡ類（CR）,藻類,シマチスジノリ,Thorea gaudichaudii
絶滅危惧ⅠＡ類（CR）,藻類,フトチスジノリ,Thorea hispida
絶滅危惧ⅠB類（EN）,藻類,タカホコシャジクモ,Chara altaica
絶滅危惧ⅠB類（EN）,藻類,オウシャジクモ,Chara corallina var. corallina
絶滅危惧ⅠB類（EN）,藻類,イトシャジクモ,Chara fibrosa subsp. gymnopitys
絶滅危惧ⅠB類（EN）,藻類,ソデマクリシャジクモ,Chara leptospora
