1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178
5thRL,5thRL,5thRL,5thRL,5thRL,5thRL,5thRL,5thRL,5thRL,RL2020,RL2020,RL2020,RL2019,RL2019,RL2019,RL2018,RL2018,RL2018,RL2017,RL2017,RL2017,RL2015,RL2015,RL2015,4thRL,4thRL,4thRL,3rdRL,3rdRL,3rdRL,2ndRL,2ndRL,2ndRL,1stRL,1stRL,1stRL,生息・生育環境区分（陸域（山地・丘陵）中区分）,生息・生育環境区分（陸域（山地・丘陵）中区分）,生息・生育環境区分（陸域（山地・丘陵）中区分）,生息・生育環境区分（陸域（山地・丘陵）中区分）,生息・生育環境区分（陸域（山地・丘陵）中区分）,生息・生育環境区分（陸域（山地・丘陵）細区分）,生息・生育環境区分（陸域（山地・丘陵）細区分）,生息・生育環境区分（陸域（山地・丘陵）細区分）,生息・生育環境区分（陸域（山地・丘陵）細区分）,生息・生育環境区分（陸域（山地・丘陵）細区分）,生息・生育環境区分（陸域（山地・丘陵）細区分）,生息・生育環境区分（陸域（山地・丘陵）細区分）,生息・生育環境区分（陸域（山地・丘陵）細区分）,生息・生育環境区分（陸域（山地・丘陵）細区分）,生息・生育環境区分（陸域（山地・丘陵）細区分）,生息・生育環境区分（陸域（山地・丘陵）細区分）,生息・生育環境区分（陸域（山地・丘陵）細区分）,生息・生育環境区分（陸域（山地・丘陵）細区分）,生息・生育環境区分（陸域（山地・丘陵）細区分）,生息・生育環境区分（陸域（山地・丘陵）細区分）,生息・生育環境区分（陸域（山地・丘陵）細区分）,生息・生育環境区分（陸域（山地・丘陵）細区分）,生息・生育環境区分（陸域（平野・海岸等）中区分）,生息・生育環境区分（陸域（平野・海岸等）中区分）,生息・生育環境区分（陸域（平野・海岸等）中区分）,生息・生育環境区分（陸域（平野・海岸等）中区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（陸域（平野・海岸等）細区分）,生息・生育環境区分（海域（沿岸）中区分）,生息・生育環境区分（海域（沿岸）中区分）,生息・生育環境区分（海域（沿岸）中区分）,生息・生育環境区分（海域（沿岸）中区分）,生息・生育環境区分（海域（沿岸）中区分）,生息・生育環境区分（海域（沿岸）細区分）,生息・生育環境区分（海域（沿岸）細区分）,生息・生育環境区分（海域（沿岸）細区分）,生息・生育環境区分（海域（沿岸）細区分）,生息・生育環境区分（海域（沿岸）細区分）,生息・生育環境区分（海域（沿岸）細区分）,生息・生育環境区分（海域（沿岸）細区分）,生息・生育環境区分（海域（沿岸）細区分）,生息・生育環境区分（海域（沿岸）細区分）,生息・生育環境区分（海域（沿岸）細区分）,生息・生育環境区分（海域（沿岸）細区分）,生息・生育環境区分（海域（沿岸）細区分）,生息・生育環境区分（海域（外洋）中区分）,生息・生育環境区分（海域（外洋）中区分）,生息・生育環境区分（海域（外洋）中区分）,生息・生育環境区分（海域（外洋）中区分）,生息・生育環境区分（海域（外洋）細区分）,生息・生育環境区分（海域（外洋）細区分）,生息・生育環境区分（海域（外洋）細区分）,生息・生育環境区分（海域（外洋）細区分）,生息・生育環境区分（海域（外洋）細区分）,生息・生育環境区分（海域（外洋）細区分）,生息・生育環境区分（海域（外洋）細区分）,生息・生育環境区分（海域（外洋）細区分）,生息・生育環境区分（海域（外洋）細区分）,生息・生育環境区分（海域（外洋）細区分）,国土地域区分,国土地域区分,国土地域区分,国土地域区分,国土地域区分,国土地域区分,国土地域区分,国土地域区分,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,存続を脅かす要因（現在）,
掲載No.,分科会名,カテゴリーJPN,カテゴリーENG,目名,科名,和名,学名,判定基準,和名,学名,カテゴリー,和名,学名,カテゴリー,和名,学名,カテゴリー,和名,学名,カテゴリー,和名,学名,カテゴリー,和名,学名,カテゴリー,和名,学名,カテゴリー,和名,学名,カテゴリー,和名,学名,カテゴリー,高標高地,中標高地,低標高地,その他,その他自由記述,裸地,森林,草地,田地・畑地,耕作放棄地,農業用水路,湿地・湿原・細流,砂地・風衝地,岩壁・ガレ場（石灰岩地等）,洞窟・地下浅層・地下水域,河川源流域,河川上流域,河川中流域,ため池・池沼,湖・ダム湖,その他,その他自由記述,平地部,海岸部,その他,その他自由記述,裸地,森林,草地,田地・畑地,耕作放棄地,湿地・湿原,住宅地,商業・工業施設,市街緑地,砂地・礫地,河川中流域,河川下流域,河口域,ワンド,農業用水路,小河川,ため池・池沼,潟・湖・ダム湖,地下水域,井戸,洞窟・地下浅層,砂浜・礫浜,海崖・岩浜・岩礁（磯）,汽水域,塩沼地・塩性湿地・河口干潟(マングローブ湿地を含む),潟・汽水湖,陸封潮溜まり（アンキアライン池・洞窟）,その他,その他自由記述,潮間帯,表層,中深層以深,その他,その他自由記述,海面,漂泳界(水柱環境),岩礁（磯）,藻場,アマモ場,サンゴ礁,干潟,砂底・礫底,泥底,洞窟,その他,その他自由記述,表層,中深層以深,その他,その他自由記述,海面,漂泳界(水柱環境),岩底,砂底・礫底,泥底,洞窟,熱水噴出孔,冷水湧出帯,その他,その他自由記述,奥山自然地域,里地里山・田園地域,都市地域,河川・湿地地域,沿岸域,海洋域,島嶼地域,不明,森林伐採,湖沼開発,河川開発,海岸開発,海砂採取,湿地開発,圃場整備,草地開発,石灰採掘,洞窟の消失や環境悪化,ゴルフ場,スキー場,土地造成,交通インフラ建設,ダム・河川工作物建設,発電施設建設,水質汚濁,水温変化,農薬汚染/化学物質汚染,感染症/病原菌,大気汚染,捕獲・狩猟/園芸採取,食用・薬用採取,違法採集,混獲・錯誤捕獲,シカ食害,その他動物食害,捕食（外来種による）,捕食（在来種による）,競争/競合（外来種による）,競争/競合（在来種による）,交雑（外来種による）,交雑（在来種による),宿主の減少,人の踏みつけ,交通事故,人工構造物への衝突,光害,管理放棄,遷移進行・植生変化/自然遷移,基質・基物の減少及び消失,自然災害,気候変動,局所分布,近親交配,その他,その他自由記述,不明
BI0001,鳥類,絶滅,EX,カモ目,カモ科,カンムリツクシガモ,Tadorna cristata,③,カンムリツクシガモ,Tadorna cristata,EX,カンムリツクシガモ,Tadorna cristata,EX,カンムリツクシガモ,Tadorna cristata,EX,カンムリツクシガモ,Tadorna cristata,EX,カンムリツクシガモ,Tadorna cristata,EX,カンムリツクシガモ,Tadorna cristata,EX,カンムリツクシガモ,Tadorna cristata,EX,カンムリツクシガモ,Tadorna cristata,EX,カンムリツクシガモ,Tadorna cristata,Ex,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0,0,1,不明,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,不明,0,0,0,1,不明,0,0,0,0,0,0,0,0,0,0,1,不明,0,0,1,不明,0,0,0,0,0,0,0,0,1,不明,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0
BI0002,鳥類,絶滅,EX,ハト目,ハト科,オガサワラカラスバト,Columba versicolor,①②③,オガサワラカラスバト,Columba versicolor,EX,オガサワラカラスバト,Columba versicolor,EX,オガサワラカラスバト,Columba versicolor,EX,オガサワラカラスバト,Columba versicolor,EX,オガサワラカラスバト,Columba versicolor,EX,オガサワラカラスバト,Columba versicolor,EX,オガサワラカラスバト,Columba versicolor,EX,オガサワラカラスバト,Columba versicolor,EX,オガサワラカラスバト,Columba versicolor,Ex,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0,0,1,不明,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,不明,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,―,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0
BI0003,鳥類,絶滅,EX,ハト目,ハト科,リュウキュウカラスバト,Columba jouyi,①③,リュウキュウカラスバト,Columba jouyi,EX,リュウキュウカラスバト,Columba jouyi,EX,リュウキュウカラスバト,Columba jouyi,EX,リュウキュウカラスバト,Columba jouyi,EX,リュウキュウカラスバト,Columba jouyi,EX,リュウキュウカラスバト,Columba jouyi,EX,リュウキュウカラスバト,Columba jouyi,EX,リュウキュウカラスバト,Columba jouyi,EX,リュウキュウカラスバト,Columba jouyi,Ex,0,0,1,0,―,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,1,0,0,―,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,―,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0
BI0004,鳥類,絶滅,EX,ツル目,クイナ科,マミジロクイナ,Poliolimnas cinereus brevipes,③,マミジロクイナ,Porzana cinerea brevipes,EX,マミジロクイナ,Porzana cinerea brevipes,EX,マミジロクイナ,Porzana cinerea brevipes,EX,マミジロクイナ,Porzana cinerea brevipes,EX,マミジロクイナ,Poliolimnas cinereus brevipes,EX,マミジロクイナ,Poliolimnas cinereus brevipes,EX,マミジロクイナ,Poliolimnas cinereus brevipes,EX,マミジロクイナ,Poliolimnas cinereus brevipes,EX,マミジロクイナ,Poliolimnas cinereus brevipes,Ex,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,1,0,0,―,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,―,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0
BI0005,鳥類,絶滅,EX,ペリカン目,サギ科,ハシブトゴイ,Nycticorax caledonicus crassirostris,③,ハシブトゴイ,Nycticorax caledonicus crassirostris,EX,ハシブトゴイ,Nycticorax caledonicus crassirostris,EX,ハシブトゴイ,Nycticorax caledonicus crassirostris,EX,ハシブトゴイ,Nycticorax caledonicus crassirostris,EX,ハシブトゴイ,Nycticorax caledonicus crassirostris,EX,ハシブトゴイ,Nycticorax caledonicus crassirostris,EX,ハシブトゴイ,Nycticorax caledonicus crassirostris,EX,ハシブトゴイ,Nycticorax caledonicus crassirostris,EX,ハシブトゴイ,Nycticorax caledonicus crassirostris,Ex,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0,1,0,―,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,―,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,―,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0
BI0006,鳥類,絶滅,EX,タカ目,タカ科,ダイトウノスリ,Buteo japonicus oshiroi,①,ダイトウノスリ,Buteo buteo oshiroi,EX,ダイトウノスリ,Buteo buteo oshiroi,EX,ダイトウノスリ,Buteo buteo oshiroi,EX,ダイトウノスリ,Buteo buteo oshiroi,EX,ダイトウノスリ,Buteo buteo oshiroi,EX,ダイトウノスリ,Buteo buteo oshiroi,EX,ダイトウノスリ,Buteo buteo oshiroi,CR,ダイトウノスリ,Buteo buteo oshiroi,CR,ダイトウノスリ,Buteo buteo oshiroi,E,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,1,0,0,―,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,―,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,―,0
BI0007,鳥類,絶滅,EX,ブッポウソウ目,カワセミ科,ミヤコショウビン,Todiramphus miyakoensis,③,ミヤコショウビン,Todiramphus miyakoensis,EX,ミヤコショウビン,Todiramphus miyakoensis,EX,ミヤコショウビン,Todiramphus miyakoensis,EX,ミヤコショウビン,Todiramphus miyakoensis,EX,ミヤコショウビン,Halcyon miyakoensis,EX,ミヤコショウビン,Halcyon miyakoensis,EX,ミヤコショウビン,Halcyon miyakoensis,EX,ミヤコショウビン,Halcyon miyakoensis,EX,ミヤコショウビン,Halcyon miyakoensis,Ex,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0,0,1,不明,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,不明,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,―,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0
BI0008,鳥類,絶滅,EX,キツツキ目,キツツキ科,キタタキ,Dryocopus javensis richardsi,①②③,キタタキ,Dryocopus javensis richardsi,EX,キタタキ,Dryocopus javensis richardsi,EX,キタタキ,Dryocopus javensis richardsi,EX,キタタキ,Dryocopus javensis richardsi,EX,キタタキ,Dryocopus javensis richardsi,EX,キタタキ,Dryocopus javensis richardsi,EX,キタタキ,Dryocopus javensis richardsi,EX,キタタキ,Dryocopus javensis richardsi,EX,キタタキ,Dryocopus javensis richardsi,Ex,0,1,1,0,―,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,―,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0
